,index,subject_uuid,trial_id,session_start_time,lab_name,task_protocol,trial_response_time,trial_response_choice,trial_stim_on_time,trial_stim_contrast_left,trial_stim_contrast_right,trial_feedback_type,probabilityLeft,subject_nickname,institution_short,signed_contrast,trial,choice,correct,choice_right,choice2,correct_easy,rt,previous_choice,previous_outcome,previous_contrast,previous_choice_name,previous_outcome_name,repeat,institution_code,rchoice,uchoice,6,12,25,100,block,intercept,simulation_prob,task,threshold
189531,523362,18a54f60-534b-4ed5-8bda-b434079b8ab8,11,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,40.6884,CW,40.4046,0.125,0.0,1.0,50,KS014,UCL,-12.5,11,-1,1.0,0.0,0.0,,0.2837999999999994,-1.0,-1.0,12.5,left,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.06660739153794186,traini,14.929503884826081
189532,523363,18a54f60-534b-4ed5-8bda-b434079b8ab8,12,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,43.9765,CW,43.7851,0.0625,0.0,1.0,50,KS014,UCL,-6.25,12,-1,1.0,0.0,0.0,,0.19140000000000157,-1.0,1.0,12.5,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.15885791661906887,traini,14.929503884826081
189533,523364,18a54f60-534b-4ed5-8bda-b434079b8ab8,13,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,47.1857,CW,46.9213,0.0,0.0,1.0,50,KS014,UCL,0.0,13,-1,,0.0,0.0,,0.26439999999999486,-1.0,1.0,6.25,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.3387411424221579,traini,14.929503884826081
189534,523365,18a54f60-534b-4ed5-8bda-b434079b8ab8,14,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,50.4862,CW,50.234899999999996,0.0625,0.0,1.0,50,KS014,UCL,-6.25,14,-1,1.0,0.0,0.0,,0.2513000000000005,-1.0,1.0,0.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.15885791661906887,traini,14.929503884826081
189535,523366,18a54f60-534b-4ed5-8bda-b434079b8ab8,15,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,57.1908,CW,56.987700000000004,1.0,0.0,1.0,50,KS014,UCL,-100.0,15,-1,1.0,0.0,0.0,1.0,0.20309999999999917,-1.0,1.0,6.25,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189536,523367,18a54f60-534b-4ed5-8bda-b434079b8ab8,16,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,61.0668,CCW,60.6182,0.0,0.125,1.0,50,KS014,UCL,12.5,16,1,1.0,1.0,1.0,,0.448599999999999,-1.0,1.0,100.0,left,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.7383300543658898,traini,14.929503884826081
189537,523368,18a54f60-534b-4ed5-8bda-b434079b8ab8,17,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,63.738,CW,63.48779999999999,0.25,0.0,1.0,50,KS014,UCL,-25.0,17,-1,1.0,0.0,0.0,,0.25020000000000664,1.0,1.0,12.5,right,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.18540216342048807,traini,14.929503884826081
189538,523369,18a54f60-534b-4ed5-8bda-b434079b8ab8,18,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,66.5787,CW,66.4514,0.0,0.25,-1.0,50,KS014,UCL,25.0,18,-1,0.0,0.0,0.0,,0.1272999999999911,-1.0,1.0,25.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.8141292256926564,traini,14.929503884826081
189539,523370,18a54f60-534b-4ed5-8bda-b434079b8ab8,19,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,70.2785,CW,70.0543,0.0,0.125,-1.0,50,KS014,UCL,12.5,19,-1,0.0,0.0,0.0,,0.22419999999999618,-1.0,-1.0,25.0,left,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.6840445738305136,traini,14.929503884826081
189540,523371,18a54f60-534b-4ed5-8bda-b434079b8ab8,20,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,73.9181,CW,73.60119999999999,0.0,0.125,-1.0,50,KS014,UCL,12.5,20,-1,0.0,0.0,0.0,,0.31690000000000396,-1.0,-1.0,12.5,left,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.6840445738305136,traini,14.929503884826081
189541,523372,18a54f60-534b-4ed5-8bda-b434079b8ab8,21,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,77.5452,CW,77.28729999999999,0.0625,0.0,1.0,50,KS014,UCL,-6.25,21,-1,1.0,0.0,0.0,,0.25790000000000646,-1.0,-1.0,12.5,left,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.1265696707087076,traini,14.929503884826081
189542,523373,18a54f60-534b-4ed5-8bda-b434079b8ab8,22,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,80.5669,CW,80.16779999999999,0.125,0.0,1.0,50,KS014,UCL,-12.5,22,-1,1.0,0.0,0.0,,0.39910000000001844,-1.0,1.0,6.25,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.08508928991624062,traini,14.929503884826081
189543,523374,18a54f60-534b-4ed5-8bda-b434079b8ab8,23,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,83.808,CW,83.5705,1.0,0.0,1.0,50,KS014,UCL,-100.0,23,-1,1.0,0.0,0.0,1.0,0.23750000000001137,-1.0,1.0,12.5,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189544,523375,18a54f60-534b-4ed5-8bda-b434079b8ab8,24,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,86.5562,CW,86.26769999999999,0.0,0.25,-1.0,50,KS014,UCL,25.0,24,-1,0.0,0.0,0.0,,0.2885000000000133,-1.0,1.0,100.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.8141292256926564,traini,14.929503884826081
189545,523376,18a54f60-534b-4ed5-8bda-b434079b8ab8,25,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,91.514,CW,91.2538,0.0,0.0625,-1.0,50,KS014,UCL,6.25,25,-1,0.0,0.0,0.0,,0.26019999999999754,-1.0,-1.0,25.0,left,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.5160062859750487,traini,14.929503884826081
189546,523377,18a54f60-534b-4ed5-8bda-b434079b8ab8,26,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,96.0978,CCW,95.7674,0.0,0.125,1.0,50,KS014,UCL,12.5,26,1,1.0,1.0,1.0,,0.3304000000000116,-1.0,-1.0,6.25,left,post_error,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.6840445738305136,traini,14.929503884826081
